dest	src	nlq	lq	cost
193.238.156.51	193.238.156.3	1.000	0.882	1.133
193.238.156.184	193.238.156.3	1.000	0.521	1.917
193.238.158.244	193.238.156.3	1.000	1.000	1.000
78.41.112.189	193.238.156.4	1.000	1.000	1.000
78.41.112.236	193.238.156.4	1.000	1.000	1.000
193.238.156.61	193.238.156.6	0.686	0.933	1.561
193.238.158.244	193.238.156.6	0.983	0.388	2.616
78.41.113.214	193.238.156.9	1.000	1.000	1.000
78.41.112.143	193.238.156.10	1.000	1.000	1.000
78.41.113.99	193.238.156.10	1.000	1.000	1.000
78.41.113.244	193.238.156.10	1.000	1.000	1.000
193.238.156.11	193.238.156.10	1.000	1.000	1.000
193.238.156.75	193.238.156.10	1.000	1.000	1.000
193.238.156.226	193.238.156.10	0.423	0.901	2.617
193.238.158.118	193.238.156.10	1.000	1.000	1.000
193.238.159.17	193.238.156.10	0.858	1.000	1.164
193.238.159.180	193.238.156.10	0.897	1.000	1.113
193.238.156.10	193.238.156.11	1.000	1.000	1.000
193.238.156.97	193.238.156.11	0.921	0.761	1.426
193.238.158.118	193.238.156.11	1.000	1.000	1.000
193.238.159.40	193.238.156.11	0.156	0.921	6.917
193.238.159.25	193.238.156.13	1.000	1.000	1.000
193.238.158.148	193.238.156.14	0.925	1.000	1.080
78.41.113.23	193.238.156.19	0.329	1.000	3.035
193.238.156.39	193.238.156.19	1.000	1.000	1.000
193.238.159.121	193.238.156.19	1.000	1.000	1.000
193.238.159.150	193.238.156.19	0.882	0.983	1.151
78.41.112.222	193.238.156.22	0.098	1.000	10.199
78.41.113.98	193.238.156.22	1.000	1.000	1.000
193.238.156.49	193.238.156.22	1.000	1.000	1.000
193.238.156.149	193.238.156.22	1.000	1.000	1.000
193.238.156.191	193.238.156.22	1.000	1.000	1.000
193.238.156.245	193.238.156.22	0.740	0.757	1.782
193.238.159.169	193.238.156.22	1.000	1.000	1.000
193.238.159.204	193.238.156.22	0.776	0.921	1.397
78.41.112.201	193.238.156.25	1.000	1.000	1.000
78.41.112.131	193.238.156.31	0.396	1.000	2.524
78.41.113.250	193.238.156.31	0.968	1.000	1.032
193.238.156.144	193.238.156.31	0.396	1.000	2.524
78.41.112.10	193.238.156.32	1.000	1.000	1.000
193.238.158.2	193.238.156.32	1.000	1.000	1.000
193.238.159.178	193.238.156.32	1.000	1.000	1.000
78.41.112.12	193.238.156.35	1.000	1.000	1.000
78.41.113.77	193.238.156.35	1.000	1.000	1.000
78.41.113.228	193.238.156.35	1.000	1.000	1.000
193.238.156.225	193.238.156.35	1.000	1.000	1.000
193.238.158.90	193.238.156.35	1.000	1.000	1.000
193.238.158.188	193.238.156.35	1.000	1.000	1.000
193.238.159.25	193.238.156.35	1.000	1.000	1.000
193.238.159.54	193.238.156.35	1.000	1.000	1.000
193.238.156.43	193.238.156.36	1.000	1.000	1.000
78.41.113.23	193.238.156.39	1.000	1.000	1.000
78.41.113.26	193.238.156.39	1.000	1.000	1.000
193.238.156.19	193.238.156.39	1.000	1.000	1.000
193.238.156.54	193.238.156.39	1.000	1.000	1.000
193.238.156.202	193.238.156.39	1.000	1.000	1.000
193.238.158.27	193.238.156.39	1.000	1.000	1.000
193.238.159.39	193.238.156.39	1.000	1.000	1.000
193.238.159.48	193.238.156.39	1.000	1.000	1.000
193.238.159.69	193.238.156.39	0.827	1.000	1.208
193.238.159.83	193.238.156.39	0.897	1.000	1.113
193.238.159.121	193.238.156.39	1.000	1.000	1.000
193.238.159.150	193.238.156.39	1.000	1.000	1.000
193.238.159.40	193.238.156.40	1.000	1.000	1.000
193.238.156.36	193.238.156.43	1.000	1.000	1.000
193.238.159.54	193.238.156.43	1.000	1.000	1.000
193.238.156.74	193.238.156.46	1.000	1.000	1.000
193.238.158.89	193.238.156.46	1.000	1.000	1.000
193.238.159.101	193.238.156.46	0.717	0.678	2.054
193.238.159.219	193.238.156.46	0.572	0.674	2.589
78.41.113.98	193.238.156.49	1.000	1.000	1.000
78.41.113.143	193.238.156.49	0.732	0.654	2.082
193.238.156.22	193.238.156.49	1.000	1.000	1.000
193.238.156.68	193.238.156.49	0.403	0.450	5.489
193.238.156.149	193.238.156.49	1.000	1.000	1.000
193.238.156.191	193.238.156.49	1.000	1.000	1.000
193.238.156.192	193.238.156.49	0.493	0.952	2.123
193.238.156.243	193.238.156.49	0.744	0.808	1.661
193.238.159.169	193.238.156.49	1.000	1.000	1.000
193.238.156.3	193.238.156.51	0.812	1.000	1.231
193.238.156.184	193.238.156.51	0.670	0.721	2.066
193.238.156.223	193.238.156.52	1.000	1.000	1.000
193.238.159.37	193.238.156.52	1.000	1.000	1.000
78.41.113.23	193.238.156.54	1.000	1.000	1.000
78.41.113.26	193.238.156.54	1.000	1.000	1.000
193.238.156.39	193.238.156.54	1.000	1.000	1.000
193.238.156.202	193.238.156.54	1.000	1.000	1.000
193.238.158.27	193.238.156.54	1.000	1.000	1.000
193.238.159.39	193.238.156.54	1.000	1.000	1.000
193.238.159.48	193.238.156.54	1.000	1.000	1.000
193.238.159.69	193.238.156.54	1.000	1.000	1.000
193.238.159.83	193.238.156.54	1.000	1.000	1.000
78.41.112.60	193.238.156.55	1.000	1.000	1.000
78.41.113.188	193.238.156.55	1.000	1.000	1.000
193.238.156.184	193.238.156.55	1.000	1.000	1.000
193.238.158.27	193.238.156.55	1.000	1.000	1.000
193.238.158.29	193.238.156.55	1.000	1.000	1.000
193.238.158.72	193.238.156.55	1.000	1.000	1.000
193.238.158.248	193.238.156.55	1.000	1.000	1.000
78.41.112.111	193.238.156.60	0.815	0.757	1.619
193.238.156.234	193.238.156.60	0.874	0.510	2.242
193.238.158.164	193.238.156.60	1.000	1.000	1.000
193.238.159.35	193.238.156.60	0.372	0.611	4.387
193.238.156.6	193.238.156.61	0.921	0.709	1.528
193.238.159.218	193.238.156.61	1.000	1.000	1.000
78.41.112.146	193.238.156.62	1.000	1.000	1.000
193.238.156.133	193.238.156.63	0.897	0.788	1.412
78.41.113.100	193.238.156.66	1.000	1.000	1.000
78.41.112.222	193.238.156.68	1.000	1.000	1.000
78.41.113.71	193.238.156.68	1.000	0.646	1.545
193.238.156.49	193.238.156.68	0.396	0.360	6.997
193.238.159.169	193.238.156.68	0.991	0.784	1.284
78.41.112.120	193.238.156.73	0.211	0.646	7.298
78.41.112.249	193.238.156.73	0.584	0.674	2.537
193.238.158.250	193.238.156.73	0.769	0.964	1.348
193.238.159.143	193.238.156.73	0.748	0.878	1.520
193.238.156.46	193.238.156.74	1.000	1.000	1.000
193.238.158.89	193.238.156.74	1.000	0.105	9.444
193.238.156.10	193.238.156.75	0.991	1.000	1.008
193.238.159.17	193.238.156.75	0.995	1.000	1.004
193.238.159.180	193.238.156.75	0.976	1.000	1.023
78.41.113.250	193.238.156.76	0.979	1.000	1.020
78.41.112.120	193.238.156.82	0.878	0.646	1.759
78.41.112.228	193.238.156.82	1.000	1.000	1.000
78.41.112.247	193.238.156.82	1.000	1.000	1.000
193.238.158.220	193.238.156.82	1.000	1.000	1.000
193.238.159.222	193.238.156.82	1.000	1.000	1.000
193.238.159.100	193.238.156.85	1.000	1.000	1.000
78.41.112.131	193.238.156.90	1.000	1.000	1.000
78.41.113.35	193.238.156.90	1.000	1.000	1.000
78.41.113.214	193.238.156.90	1.000	1.000	1.000
193.238.158.169	193.238.156.90	1.000	1.000	1.000
78.41.112.10	193.238.156.97	1.000	1.000	1.000
78.41.113.139	193.238.156.97	0.878	0.991	1.146
193.238.156.11	193.238.156.97	0.776	0.913	1.409
193.238.159.68	193.238.156.97	0.497	0.925	2.169
193.238.156.127	193.238.156.101	1.000	1.000	1.000
193.238.156.121	193.238.156.109	0.627	0.678	2.349
193.238.156.159	193.238.156.109	0.557	0.686	2.616
193.238.156.199	193.238.156.109	0.545	0.693	2.643
193.238.156.245	193.238.156.109	0.259	0.372	10.370
193.238.157.136	193.238.156.109	0.674	0.890	1.665
193.238.159.100	193.238.156.115	1.000	1.000	1.000
78.41.113.214	193.238.156.120	1.000	1.000	1.000
193.238.156.194	193.238.156.120	1.000	1.000	1.000
193.238.156.199	193.238.156.120	1.000	1.000	1.000
193.238.158.32	193.238.156.120	1.000	1.000	1.000
193.238.156.109	193.238.156.121	0.678	0.643	2.291
193.238.158.71	193.238.156.121	0.956	0.917	1.139
193.238.156.101	193.238.156.127	1.000	1.000	1.000
193.238.159.83	193.238.156.127	0.964	0.732	1.413
78.41.113.22	193.238.156.133	1.000	1.000	1.000
78.41.113.71	193.238.156.133	1.000	1.000	1.000
193.238.156.63	193.238.156.133	0.788	0.897	1.412
193.238.156.249	193.238.156.133	1.000	1.000	1.000
78.41.113.77	193.238.156.135	1.000	1.000	1.000
193.238.159.61	193.238.156.136	1.000	1.000	1.000
78.41.112.66	193.238.156.139	0.497	1.000	2.008
193.238.159.81	193.238.156.139	0.497	1.000	2.008
193.238.159.137	193.238.156.139	0.497	1.000	2.008
193.238.159.227	193.238.156.139	0.497	0.191	10.448
193.238.156.237	193.238.156.141	0.493	1.000	2.023
193.238.159.69	193.238.156.141	0.493	1.000	2.023
193.238.159.164	193.238.156.141	0.493	1.000	2.023
78.41.112.131	193.238.156.144	1.000	1.000	1.000
193.238.156.31	193.238.156.144	1.000	0.396	2.524
78.41.112.222	193.238.156.149	0.098	1.000	10.199
78.41.113.98	193.238.156.149	1.000	1.000	1.000
193.238.156.22	193.238.156.149	1.000	1.000	1.000
193.238.156.49	193.238.156.149	1.000	1.000	1.000
193.238.156.191	193.238.156.149	1.000	1.000	1.000
193.238.159.169	193.238.156.149	1.000	1.000	1.000
78.41.113.219	193.238.156.151	1.000	1.000	1.000
78.41.112.20	193.238.156.152	0.839	0.725	1.642
78.41.113.42	193.238.156.152	1.000	1.000	1.000
193.238.158.15	193.238.156.152	0.662	0.976	1.545
193.238.159.44	193.238.156.152	1.000	1.000	1.000
193.238.159.46	193.238.156.152	1.000	1.000	1.000
193.238.159.206	193.238.156.152	0.792	0.956	1.318
193.238.159.61	193.238.156.158	0.619	0.788	2.047
193.238.156.109	193.238.156.159	0.697	0.541	2.646
193.238.156.161	193.238.156.159	1.000	1.000	1.000
193.238.156.163	193.238.156.159	1.000	1.000	1.000
193.238.156.173	193.238.156.159	0.631	0.769	2.061
193.238.156.159	193.238.156.161	1.000	1.000	1.000
193.238.156.163	193.238.156.161	1.000	1.000	1.000
193.238.158.29	193.238.156.161	0.784	0.780	1.634
78.41.113.219	193.238.156.163	0.631	0.800	1.979
193.238.156.159	193.238.156.163	1.000	1.000	1.000
193.238.156.161	193.238.156.163	1.000	1.000	1.000
193.238.156.253	193.238.156.163	0.133	0.541	13.858
193.238.158.70	193.238.156.163	0.576	0.650	2.664
78.41.112.195	193.238.156.166	1.000	1.000	1.000
78.41.113.135	193.238.156.166	1.000	1.000	1.000
193.238.158.237	193.238.156.166	1.000	1.000	1.000
193.238.158.240	193.238.156.166	1.000	1.000	1.000
193.238.159.113	193.238.156.166	1.000	1.000	1.000
193.238.159.252	193.238.156.166	1.000	1.000	1.000
193.238.156.173	193.238.156.171	1.000	1.000	1.000
78.41.113.219	193.238.156.172	0.553	0.600	3.014
193.238.156.200	193.238.156.172	0.549	0.721	2.523
193.238.157.130	193.238.156.172	1.000	1.000	1.000
193.238.158.66	193.238.156.172	0.627	0.576	2.765
193.238.158.219	193.238.156.172	1.000	1.000	1.000
193.238.159.26	193.238.156.172	0.541	0.784	2.355
193.238.156.159	193.238.156.173	0.769	0.631	2.061
193.238.156.171	193.238.156.173	1.000	1.000	1.000
193.238.156.193	193.238.156.176	1.000	1.000	1.000
193.238.159.29	193.238.156.183	1.000	1.000	1.000
193.238.159.80	193.238.156.183	1.000	1.000	1.000
193.238.159.138	193.238.156.183	0.870	1.000	1.148
78.41.112.60	193.238.156.184	1.000	1.000	1.000
78.41.113.71	193.238.156.184	1.000	0.643	1.555
78.41.113.104	193.238.156.184	1.000	1.000	1.000
78.41.113.188	193.238.156.184	1.000	1.000	1.000
193.238.156.3	193.238.156.184	0.564	1.000	1.771
193.238.156.51	193.238.156.184	0.693	0.670	2.147
193.238.156.55	193.238.156.184	1.000	1.000	1.000
193.238.156.204	193.238.156.184	1.000	1.000	1.000
193.238.156.248	193.238.156.184	1.000	1.000	1.000
193.238.158.27	193.238.156.184	1.000	1.000	1.000
193.238.158.29	193.238.156.184	1.000	1.000	1.000
193.238.158.72	193.238.156.184	1.000	1.000	1.000
193.238.158.248	193.238.156.184	1.000	1.000	1.000
193.238.156.253	193.238.156.189	0.987	0.568	1.779
193.238.158.225	193.238.156.189	0.776	1.000	1.287
78.41.112.222	193.238.156.191	0.098	1.000	10.199
78.41.113.98	193.238.156.191	1.000	1.000	1.000
193.238.156.22	193.238.156.191	1.000	1.000	1.000
193.238.156.49	193.238.156.191	1.000	1.000	1.000
193.238.156.149	193.238.156.191	1.000	1.000	1.000
193.238.159.169	193.238.156.191	1.000	1.000	1.000
193.238.156.49	193.238.156.192	0.952	0.514	2.042
193.238.159.169	193.238.156.192	0.976	0.729	1.403
193.238.156.176	193.238.156.193	1.000	1.000	1.000
193.238.159.25	193.238.156.193	0.983	1.000	1.016
193.238.156.120	193.238.156.194	1.000	1.000	1.000
193.238.156.199	193.238.156.194	1.000	1.000	1.000
193.238.157.167	193.238.156.194	0.960	0.862	1.206
78.41.112.254	193.238.156.199	0.776	1.000	1.287
193.238.156.109	193.238.156.199	0.689	0.525	2.757
193.238.156.120	193.238.156.199	1.000	1.000	1.000
193.238.156.194	193.238.156.199	1.000	1.000	1.000
193.238.156.245	193.238.156.199	0.717	0.854	1.630
193.238.156.172	193.238.156.200	0.788	0.549	2.311
193.238.158.217	193.238.156.200	0.725	0.874	1.576
193.238.159.101	193.238.156.200	1.000	1.000	1.000
193.238.159.175	193.238.156.200	0.761	0.392	3.352
193.238.159.240	193.238.156.200	1.000	1.000	1.000
78.41.113.23	193.238.156.202	1.000	1.000	1.000
78.41.113.24	193.238.156.202	0.772	0.874	1.479
78.41.113.26	193.238.156.202	1.000	1.000	1.000
193.238.156.39	193.238.156.202	1.000	1.000	1.000
193.238.156.54	193.238.156.202	1.000	1.000	1.000
193.238.158.27	193.238.156.202	1.000	1.000	1.000
193.238.159.39	193.238.156.202	1.000	1.000	1.000
193.238.159.48	193.238.156.202	1.000	1.000	1.000
193.238.159.69	193.238.156.202	1.000	1.000	1.000
193.238.159.80	193.238.156.202	0.761	0.952	1.379
193.238.159.83	193.238.156.202	1.000	1.000	1.000
78.41.113.77	193.238.156.204	0.851	1.000	1.175
193.238.156.184	193.238.156.204	1.000	1.000	1.000
193.238.158.230	193.238.156.208	1.000	1.000	1.000
78.41.112.171	193.238.156.213	1.000	1.000	1.000
193.238.158.95	193.238.156.213	1.000	1.000	1.000
193.238.156.52	193.238.156.223	1.000	1.000	1.000
193.238.158.72	193.238.156.223	0.917	0.976	1.115
193.238.159.37	193.238.156.223	1.000	1.000	1.000
193.238.157.153	193.238.156.224	0.843	0.925	1.281
193.238.158.3	193.238.156.224	0.827	0.913	1.322
193.238.158.11	193.238.156.224	0.784	0.909	1.401
78.41.112.12	193.238.156.225	1.000	1.000	1.000
78.41.113.77	193.238.156.225	1.000	1.000	1.000
78.41.113.228	193.238.156.225	1.000	1.000	1.000
193.238.156.35	193.238.156.225	1.000	1.000	1.000
193.238.158.90	193.238.156.225	1.000	1.000	1.000
193.238.158.188	193.238.156.225	1.000	1.000	1.000
193.238.159.25	193.238.156.225	1.000	1.000	1.000
193.238.159.54	193.238.156.225	1.000	1.000	1.000
193.238.156.10	193.238.156.226	0.882	0.423	2.676
193.238.156.227	193.238.156.226	1.000	1.000	1.000
193.238.158.136	193.238.156.226	1.000	1.000	1.000
193.238.159.12	193.238.156.226	1.000	1.000	1.000
78.41.112.201	193.238.156.227	0.576	1.000	1.734
78.41.113.228	193.238.156.227	1.000	0.195	5.100
193.238.156.226	193.238.156.227	1.000	1.000	1.000
193.238.158.136	193.238.156.227	1.000	1.000	1.000
193.238.159.12	193.238.156.227	1.000	1.000	1.000
78.41.112.68	193.238.156.228	1.000	1.000	1.000
78.41.112.69	193.238.156.234	0.415	0.812	2.963
78.41.112.111	193.238.156.234	0.611	0.796	2.053
193.238.156.60	193.238.156.234	0.549	0.925	1.968
193.238.158.166	193.238.156.234	1.000	1.000	1.000
193.238.159.35	193.238.156.234	0.356	0.784	3.572
193.238.159.61	193.238.156.234	1.000	1.000	1.000
193.238.159.181	193.238.156.234	0.360	0.897	3.086
78.41.112.223	193.238.156.237	1.000	0.796	1.256
193.238.156.141	193.238.156.237	1.000	0.493	2.023
193.238.159.69	193.238.156.237	1.000	1.000	1.000
193.238.159.164	193.238.156.237	1.000	1.000	1.000
193.238.156.49	193.238.156.243	0.808	0.736	1.679
193.238.158.70	193.238.156.243	0.686	0.230	6.297
193.238.156.22	193.238.156.245	0.757	0.780	1.692
193.238.156.109	193.238.156.245	0.372	0.223	12.008
193.238.156.199	193.238.156.245	0.854	0.744	1.569
193.238.157.136	193.238.156.245	0.843	0.854	1.387
78.41.112.49	193.238.156.247	1.000	1.000	1.000
78.41.112.50	193.238.156.247	1.000	1.000	1.000
193.238.159.59	193.238.156.247	1.000	1.000	1.000
193.238.156.184	193.238.156.248	1.000	1.000	1.000
193.238.158.248	193.238.156.248	1.000	1.000	1.000
78.41.113.233	193.238.156.249	0.729	0.929	1.475
193.238.156.133	193.238.156.249	1.000	1.000	1.000
193.238.158.178	193.238.156.249	0.561	0.839	2.124
193.238.159.100	193.238.156.251	1.000	1.000	1.000
78.41.112.194	193.238.156.253	0.485	0.917	2.240
78.41.112.225	193.238.156.253	0.286	0.905	3.855
78.41.113.22	193.238.156.253	0.454	0.227	9.664
78.41.113.98	193.238.156.253	1.000	1.000	1.000
193.238.156.163	193.238.156.253	0.485	0.113	18.082
193.238.156.189	193.238.156.253	0.518	0.987	1.954
193.238.158.225	193.238.156.253	0.788	0.976	1.299
193.238.158.245	193.238.156.253	0.576	0.819	2.116
193.238.156.172	193.238.157.130	1.000	1.000	1.000
193.238.158.219	193.238.157.130	1.000	1.000	1.000
193.238.159.174	193.238.157.132	1.000	1.000	1.000
193.238.156.109	193.238.157.136	0.890	0.769	1.461
193.238.156.245	193.238.157.136	0.854	0.843	1.387
193.238.156.224	193.238.157.153	0.944	0.901	1.173
193.238.158.3	193.238.157.153	0.815	0.882	1.389
193.238.158.11	193.238.157.153	0.772	0.788	1.642
193.238.156.194	193.238.157.167	0.866	0.960	1.200
193.238.157.207	193.238.157.167	0.310	0.753	4.286
193.238.158.3	193.238.157.167	0.772	0.808	1.602
193.238.159.51	193.238.157.167	1.000	1.000	1.000
193.238.158.71	193.238.157.206	1.000	1.000	1.000
193.238.159.100	193.238.157.206	1.000	1.000	1.000
78.41.112.18	193.238.157.207	1.000	1.000	1.000
78.41.112.203	193.238.157.207	0.485	0.987	2.080
78.41.113.197	193.238.157.207	0.545	0.769	2.387
193.238.157.167	193.238.157.207	0.732	0.356	3.820
193.238.159.225	193.238.157.207	0.643	0.627	2.478
193.238.156.32	193.238.158.2	1.000	1.000	1.000
193.238.159.178	193.238.158.2	1.000	1.000	1.000
193.238.156.224	193.238.158.3	0.882	0.827	1.369
193.238.157.153	193.238.158.3	0.804	0.815	1.524
193.238.157.167	193.238.158.3	0.780	0.780	1.642
193.238.158.11	193.238.158.3	0.164	0.839	7.234
193.238.156.224	193.238.158.11	0.839	0.784	1.519
193.238.157.153	193.238.158.11	0.827	0.772	1.563
193.238.158.3	193.238.158.11	0.831	0.145	8.289
193.238.156.152	193.238.158.15	0.976	0.639	1.602
78.41.112.92	193.238.158.26	1.000	1.000	1.000
78.41.112.99	193.238.158.26	1.000	1.000	1.000
193.238.158.169	193.238.158.26	1.000	1.000	1.000
193.238.159.232	193.238.158.26	1.000	1.000	1.000
78.41.112.60	193.238.158.27	1.000	1.000	1.000
78.41.113.23	193.238.158.27	1.000	1.000	1.000
78.41.113.26	193.238.158.27	1.000	1.000	1.000
78.41.113.188	193.238.158.27	1.000	1.000	1.000
193.238.156.39	193.238.158.27	1.000	1.000	1.000
193.238.156.54	193.238.158.27	1.000	1.000	1.000
193.238.156.55	193.238.158.27	1.000	1.000	1.000
193.238.156.184	193.238.158.27	1.000	1.000	1.000
193.238.156.202	193.238.158.27	1.000	1.000	1.000
193.238.158.29	193.238.158.27	1.000	1.000	1.000
193.238.158.72	193.238.158.27	1.000	1.000	1.000
193.238.158.248	193.238.158.27	1.000	1.000	1.000
193.238.159.39	193.238.158.27	1.000	1.000	1.000
193.238.159.48	193.238.158.27	1.000	1.000	1.000
193.238.159.69	193.238.158.27	1.000	1.000	1.000
193.238.159.83	193.238.158.27	1.000	1.000	1.000
193.238.159.160	193.238.158.27	1.000	1.000	1.000
78.41.113.159	193.238.158.28	1.000	1.000	1.000
193.238.158.250	193.238.158.28	1.000	1.000	1.000
78.41.112.60	193.238.158.29	1.000	1.000	1.000
78.41.113.188	193.238.158.29	1.000	1.000	1.000
193.238.156.55	193.238.158.29	1.000	1.000	1.000
193.238.156.161	193.238.158.29	0.780	0.717	1.785
193.238.156.184	193.238.158.29	1.000	1.000	1.000
193.238.158.27	193.238.158.29	1.000	1.000	1.000
193.238.158.72	193.238.158.29	1.000	1.000	1.000
193.238.158.248	193.238.158.29	1.000	1.000	1.000
78.41.113.214	193.238.158.32	1.000	1.000	1.000
193.238.156.120	193.238.158.32	1.000	1.000	1.000
193.238.158.188	193.238.158.41	1.000	1.000	1.000
193.238.159.167	193.238.158.41	1.000	1.000	1.000
78.41.112.213	193.238.158.53	1.000	1.000	1.000
193.238.158.186	193.238.158.53	1.000	1.000	1.000
193.238.159.246	193.238.158.53	1.000	1.000	1.000
193.238.159.100	193.238.158.57	0.098	1.000	10.199
193.238.158.173	193.238.158.60	1.000	1.000	1.000
193.238.158.235	193.238.158.60	1.000	1.000	1.000
193.238.159.219	193.238.158.60	1.000	1.000	1.000
193.238.159.238	193.238.158.60	1.000	1.000	1.000
193.238.156.172	193.238.158.66	0.592	0.643	2.625
193.238.158.217	193.238.158.66	0.329	0.497	6.095
193.238.159.26	193.238.158.66	0.596	0.890	1.884
193.238.159.175	193.238.158.66	0.686	0.804	1.813
193.238.159.181	193.238.158.66	0.572	0.897	1.944
78.41.112.131	193.238.158.70	0.654	0.627	2.433
193.238.156.163	193.238.158.70	0.650	0.564	2.720
193.238.156.243	193.238.158.70	0.223	0.627	7.130
193.238.158.134	193.238.158.70	0.713	0.732	1.910
193.238.156.121	193.238.158.71	0.843	0.956	1.239
193.238.157.206	193.238.158.71	1.000	1.000	1.000
78.41.112.60	193.238.158.72	1.000	1.000	1.000
78.41.113.144	193.238.158.72	0.929	0.983	1.093
78.41.113.188	193.238.158.72	1.000	1.000	1.000
193.238.156.55	193.238.158.72	1.000	1.000	1.000
193.238.156.184	193.238.158.72	1.000	1.000	1.000
193.238.156.223	193.238.158.72	0.976	0.937	1.092
193.238.158.27	193.238.158.72	1.000	1.000	1.000
193.238.158.29	193.238.158.72	1.000	1.000	1.000
193.238.158.248	193.238.158.72	1.000	1.000	1.000
193.238.158.152	193.238.158.76	1.000	1.000	1.000
78.41.112.126	193.238.158.86	1.000	1.000	1.000
78.41.113.90	193.238.158.86	1.000	1.000	1.000
78.41.113.124	193.238.158.86	1.000	1.000	1.000
78.41.113.137	193.238.158.86	1.000	1.000	1.000
78.41.113.250	193.238.158.86	1.000	1.000	1.000
193.238.159.100	193.238.158.86	1.000	1.000	1.000
78.41.112.244	193.238.158.89	0.674	0.800	1.853
193.238.156.46	193.238.158.89	1.000	1.000	1.000
193.238.156.74	193.238.158.89	0.105	1.000	9.444
193.238.158.249	193.238.158.89	0.553	0.686	2.635
78.41.112.12	193.238.158.90	1.000	1.000	1.000
78.41.113.77	193.238.158.90	1.000	1.000	1.000
78.41.113.228	193.238.158.90	1.000	1.000	1.000
193.238.156.35	193.238.158.90	1.000	1.000	1.000
193.238.156.225	193.238.158.90	1.000	1.000	1.000
193.238.158.188	193.238.158.90	1.000	1.000	1.000
193.238.159.25	193.238.158.90	1.000	1.000	1.000
193.238.159.42	193.238.158.90	1.000	1.000	1.000
193.238.159.54	193.238.158.90	1.000	1.000	1.000
78.41.112.76	193.238.158.91	1.000	1.000	1.000
78.41.112.122	193.238.158.91	1.000	1.000	1.000
78.41.112.169	193.238.158.91	1.000	1.000	1.000
193.238.158.119	193.238.158.91	1.000	1.000	1.000
78.41.112.171	193.238.158.95	1.000	1.000	1.000
193.238.156.213	193.238.158.95	1.000	1.000	1.000
193.238.159.240	193.238.158.99	0.874	0.732	1.559
78.41.113.233	193.238.158.109	0.937	0.894	1.192
193.238.156.10	193.238.158.118	1.000	1.000	1.000
193.238.156.11	193.238.158.118	1.000	1.000	1.000
193.238.159.40	193.238.158.118	0.925	0.929	1.162
78.41.112.76	193.238.158.119	1.000	1.000	1.000
78.41.112.169	193.238.158.119	1.000	1.000	1.000
193.238.158.91	193.238.158.119	1.000	1.000	1.000
193.238.158.148	193.238.158.121	0.819	0.732	1.663
